lat,lon,elevacao_m
-21.7905699,-50.8000141,
-23.06931,-48.940887,
-23.1836057,-46.3692501,
-23.1003503,-46.4392197,
-23.1592104,-46.3922131,
-22.616268,-46.523611,
-23.0824999,-46.4120415,
-23.1989958,-47.9766938,
-23.1733266,-47.8318057,
-21.9503702,-50.5266834,
-23.2293136,-49.111353,
-23.1742995,-46.4507859,
-22.7329621,-46.5624759,
-23.4227782,-47.7117662,
-23.1748214,-46.3808198,
-22.76715,-46.5928931,
-23.1939325,-48.2546405,
-23.686536,-47.7263675,
-22.7915962,-46.445153,
-23.4235304,-47.7147596,
-22.7507483,-46.5587,
-23.2292725,-47.9904363,
-22.7976487,-46.55637,
-23.0761991,-46.3980427,
-23.2503871,-48.9888905,
-22.91824,-47.908664,
-22.5702488,-46.5186639,
-23.0845065,-46.4146817,
-22.8702725,-49.1649596,
-23.4656164,-47.7622748,
-23.0897496,-46.4349196,
-22.7996002,-46.4447608,
-23.2117609,-48.9491956,
-23.4565053,-47.7196363,
-22.8008212,-46.4412655,
-23.1961305,-48.2521262,
-22.7315423,-46.5610356,
-23.059781,-48.9562905,
-23.173371,-46.4411985,
-23.4757584,-47.689245,
-23.0850533,-46.4161762,
-23.0485306,-46.3598594,
-23.1732047,-46.3781289,
-22.7585372,-46.594879,
-22.7704969,-46.5826511,
-22.8841383,-49.6094472,
-23.4764284,-47.6860228,
-23.2250396,-49.094152,
-23.0752035,-46.3941393,
-23.1072636,-48.9407778,
-22.8389902,-49.2295137,
-23.0575547,-48.9582841,
-21.9454861,-50.5354228,
-22.7352478,-46.5953962,
-22.7432933,-46.5632096,
-21.6907975,-51.0444498,
-21.9644636,-50.4821225,
-23.2107015,-49.60015,
-21.9267385,-50.7160919,
-23.0939653,-46.4337268,
-23.5213101,-47.7664207,
-23.2287997,-49.1115783,
-23.1753628,-46.4507027,
-20.1520448,-50.2046635,
-23.3845577,-49.5197543,
-22.7960557,-46.5731321,
-22.8008284,-46.4412571,
-23.1297485,-49.4436229,
-23.1931013,-48.2546581,
-22.7447881,-46.5585284,
-23.1724978,-46.4509849,
-22.7979846,-46.559859,
-23.4667388,-47.6916392,
-23.4597955,-47.732694,
-22.8006354,-46.4414321,
-22.7507638,-46.5602833,
-22.9550519,-46.3935088,
-23.1971992,-48.9477338,
-23.1924686,-48.2425334,
-23.1774538,-46.44367,
-22.5752564,-46.522482,
-22.763587,-46.5805275,
-23.0989549,-46.4371877,
-22.953609,-46.3926957,
-22.5778866,-46.5226564,
-23.4507231,-47.7240146,
-23.2333859,-49.1106268,
-23.1046316,-48.9748378,
-22.7412066,-46.5798724,
-22.8558968,-49.2268591,
-21.943085,-50.5320094,
-23.2141454,-48.9476039,
-23.1900422,-48.2451571,
-23.4760711,-47.6921099,
-23.1967576,-48.2529354,
-22.6140171,-46.5266349,
-23.2561138,-48.9836389,
-23.4169601,-47.7067066,
-22.7898958,-46.4369996,
-22.7496692,-46.5617538,
-23.2075592,-49.1394456,
-23.2219436,-49.0937221,
-23.162249,-46.3887556,
-23.2276316,-47.8857529,
-22.7384185,-46.561044,
-22.5776478,-46.5230882,
-23.1874383,-47.8404097,
-23.0543513,-46.3409067,
-23.4680829,-47.7594145,
-22.7399946,-46.5568209,
-20.540308,-50.9150916,
-21.9467103,-50.5200108,
-23.1597741,-46.3924307,
-22.857579,-49.2294306,
-23.4251912,-47.7112273,
-23.0484096,-46.3493285,
-22.9115469,-50.6950739,
-22.173103,-50.0943321,
-23.2623071,-48.9849154,
-22.8488726,-49.2292847,
-23.0869325,-46.4387958,
-22.9198791,-47.9082953,
-23.0880321,-46.4127328,
-23.2124211,-48.9763514,
-23.4655755,-47.6894068,
-23.1845259,-46.3717671,
-23.2099297,-48.997011,
-23.1906735,-48.2440722,
-22.6314955,-46.5336698,
-23.0961608,-46.4320002,
-23.2435177,-48.3130468,
-23.1635524,-46.4088046,
-23.4061821,-47.688093,
-22.764031,-46.5729507,
-22.5986991,-49.6320628,
-22.8658036,-49.1673189,
-22.7621118,-46.5832577,
-20.2497553,-50.2302544,
-23.0889221,-46.4320682,
-22.7840262,-46.4453977,
-23.1497363,-46.3600239,
-21.951872,-50.5108519,
-22.8197042,-46.5133238,
-23.225984,-48.9561928,
-22.7444956,-46.5672441,
-22.7405569,-46.556144,
-21.950349,-50.5106957,
-23.2496644,-48.9917243,
-22.9430329,-49.6521404,
-19.9248459,-50.0664823,
-23.0502451,-46.3369293,
-23.077599,-46.4265966,
-22.7405432,-50.5823973,
-23.259878,-48.9992376,
-23.1247724,-49.4480391,
-23.1907871,-48.2453016,
-20.1984607,-51.0119568,
-23.4751897,-47.6844094,
-22.7396739,-46.5981231,
-22.9111431,-50.6956889,
-22.7459509,-46.5733729,
